"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"AKSUE","ELECTRICITY GAS AND WATER",62388671,-8379257,835856228,36058370,226005371,609850857,-5257249,NA,4751878,49693809,73627857,92078134,NA,NA,NA,NA,74937492,NA,NA,48822437,33606916,2479840,129718094,51452877,114355037,15363057,21304774,63389240,-41369800,10342934,17301455,-18838587,84066037,28101321,70824739,13241298,-3196598,63389240,-14468845,5471255
"AKYHO","HOLDING AND INVESTMENT COMPANIES",116632781,-92336206,671661134,73554128,85591266,586069868,73007825,252208000,134037238,106724918,147480734,-65908548,873788616,155217403,231875928,641912688,26399961,217710982,-35965912,142540873,91391672,-162184365,953362055,95773418,238088388,715273667,-121964104,219301054,41056399,70077881,6079718,7032758,203617700,20434481,36807541,166810159,-36234269,210811987,117582514,11363867
"ALARK","HOLDING AND INVESTMENT COMPANIES",7598275000,1757270000,93937054000,19033365000,29234474000,64702580000,-1284444000,4.35e+08,406446000,7273922000,11977992000,9565558000,85701645000,19008088000,22251009000,63450636000,-7037828000,4.35e+08,3666773000,10984459000,12271876777,16706224701,51831923975,12322880517,14143549916,37688374059,1223643608,4.35e+08,2463792701,10611929198,2016553895,1274416737,7131820762,2126349263,2573279881,4558540881,-173854669,4.35e+08,307604535,1986322723
"ALBRK","BANKS",16993171000,5159309000,311885422000,NA,291941193000,19944229000,-1484711000,2.5e+09,NA,NA,17050713000,3969283000,233236983000,NA,218888579000,14348404000,-6201882000,2.5e+09,NA,NA,9739683000,1699161000,146963163000,NA,137615375000,9347788000,-8877350000,2.5e+09,NA,NA,3345300000,332836000,110024448000,NA,103325268000,6699180000,-1144995000,1699957800,NA,NA
"ALCAR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",6527261290,412926697,5420230757,1896958493,2850347919,2569882838,772511886,10800000,2424612564,5741593905,7890246110,-593997807,5575507153,3054891429,3422664468,2152842685,-529056906,10800000,1246804693,6678602255,4160312244,482853004,3958763142,1711242574,1951595848,2007167294,655608470,10800000,1828882497,3458170145,1264868843,71950613,1178521513,602026013,680774893,497746620,-10581785,10800000,489183401,995759999
"ALCTL","TECHNOLOGY",4541217536,256398871,4311405802,1510757855,1847043968,2464361834,-5872183,38700772,2593006532,3978464842,2556691865,-143425919,3056767453,889662006,1100076761,1956690692,-9054105,38700772,2096487511,2343926019,2281118603,235946985,2299102079,832169193,992437955,1306664124,-3476099,38700772,1318198537,1723945679,1309047909,51779401,1405400290,355350682,612493933,792906357,-192255,38700772,919310862,1262826008
"ALFAS","ELECTRICITY GAS AND WATER",7698292255,199205262,7242462936,2824809554,3442508889,3799954047,-1819225772,3.68e+08,1005599261,6891867089,11164841259,1500316362,7327097474,3142435618,3379549464,3947548010,-1270658372,3.68e+08,2265570987,8841015566,4179599529,816015003,3420240235,1749913391,1754560307,1665679928,-382637110,3.68e+08,1047303993,3311726470,438553686,48402562,440607278,327295022,331781506,108825772,-28404333,3.68e+08,75372688,361688173
"ALGYO","REAL ESTATE INVESTMENT TRUSTS",370929859,445950916,18017512207,558885478,4694706926,13322805281,-1402776205,289800000,1305852717,23009348,472806786,1861594885,16752940032,373427919,1223568122,15529371910,-813752619,289800000,2261707571,11600810,297110097,1243493208,10098747654,105433697,423131903,9675615751,-284159036,289800000,754343087,8553192,136191050,1266298390,3221232957,33543244,78683053,3142549904,-468576575,289799999,642530402,1543441
"ALKA","PAPER AND PAPER PRODUCTS PRINTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2389692295,90551394,1695812838,407805085,434282040,1261530798,-340405506,183750000,764576313,1844053125,3544912195,481530021,1744939275,358607845,423986984,1320952291,-169385572,183750000,1032846051,2535681570,700986904,184344482,569387501,209174277,223746648,345640853,22207132,183750000,334385704,545258168
"ALKIM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",4688321828,-136466994,4867168187,903281410,1070716665,3796451522,-304515096,3e+08,1374462792,4023782551,5813154309,391366114,5118859900,1079391134,1153359836,3965500064,-386330448,3e+08,1773445040,4663004571,5365803733,198819968,3674064599,662361098,955299195,2718765404,-184377308,3e+08,1641595850,4000043682,1096488544,248125334,1150223512,331733041,413129103,737094409,-88894091,3e+08,513825539,792303168
"ALKLC","FOOD, BEVERAGE AND TOBACCO",3236779775,23086301,3981512794,1821206219,2109604264,1871908530,-611902743,1.12e+08,373637030,2224965421,2681012519,79906884,2826632967,1646694348,1870653969,955978998,-39970605,1.12e+08,-69783248,1944080539,1.55e+09,4300000,1482913640,806995408,951104595,531809045,-20067404,1.12e+08,29916858,1127300000,1289200000,144500000,1115354009,769799849,843890236,271463773,NA,1.12e+08,81850736,908400000
"ALTNY","TECHNOLOGY",1766803477,489014615,6374752812,2006694163,2591529813,3783222999,-1019927860,235294118,1419687832,863245068,1710613755,582102982,3639570001,1007592464,1401243200,2238326801,-438405877,235294118,246866998,1038382727,588722121,33138402,1556937882,355102655,547007652,1009930230,-317154876,235294118,120999418,287906010,262651645,27723103,1539835120,484814958,625557105,914278015,-214484509,235294118,321163616,96007673
"ALVES","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",5395331238,103995918,3935481232,1840669866,1937793935,1997687297,-695599242,1.6e+08,501391385,4332120484,4625807762,420936386,2569249258,1429001596,1609298463,959950795,-347205271,1.6e+08,159651814,3762452673,808564277,43968970,774040334,533244263,577665840,196374494,-68217700,1.6e+08,-13642414,709967693,423345374,16140285,342173666,337006488,351898436,-9724770,-6495290,1.6e+08,-42976162,380642141
"ANELE","CONSTRUCTION AND PUBLIC WORKS",4317662180,-158825855,10056133112,6508804694,7582500830,2473632282,-5045757,2.65e+08,132684334,3664469032,3045809858,321354218,13041674279,7372952481,9940573703,3101100576,-303395,2.65e+08,-321451288,2722243862,4294733058,224603018,9040949123,5894591347,7021730293,2019218830,-1912842,2.65e+08,-1221100391,4591136836,981163411,-123026436,3255201825,2064151191,2610235833,644965992,-916914,2.65e+08,-243230269,1041440674
"ANGEN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",529831707,-218876146,1786730752,87542364,235365235,1551365517,-226832852,2.2e+08,670628072,195263123,343918384,-197323031,1953639918,67113547,201962887,1751677031,-150931219,2.2e+08,986454806,69404734,468380164,-21064321,1650190584,26084325,142511249,1507679335,-211988293,2.2e+08,1067045976,66770445,410109510,433331607,859774186,28002983,33981894,825792292,-67431168,2.2e+08,680025912,51426497
"ANHYT","INSURANCE COMPANIES",23265188623,4305802455,260339161440,NA,250267635534,10071525906,-3067981559,4.3e+08,NA,NA,16620767219,2853815200,162865081357,NA,156415623795,6449457562,-2002362563,4.3e+08,NA,NA,7895914169,1391751856,90659179398,NA,87192972557,3466206841,-1328606163,4.3e+08,NA,NA,4935726654,699988065,51464651221,NA,49615477786,1849173435,-1461561589,4.3e+08,NA,NA
"ANSGR","INSURANCE COMPANIES",60564027468,11538847383,89267931589,NA,65541794144,23726137445,2496588836,5e+08,NA,NA,37192712487,6380159747,56381517782,NA,44164382238,12217135544,-2057061126,5e+08,NA,NA,16954881418,1323551677,29414397226,NA,24657578956,4756818270,2586368985,5e+08,NA,NA,8972604287,589834604,16775578080,NA,13572025884,3203552196,-557601419,5e+08,NA,NA
"ARASE","ELECTRICITY GAS AND WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCLK","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",428548223000,1689082000,397726074000,221237449000,322662481000,75063593000,-14718513000,675728205,8228721000,310446187000,371203268000,19505482000,372696385000,198955558000,286699556000,85996829000,-19432973000,675728205,48396978000,262373433000,257172030000,6285498000,232422279000,130880266000,174382869000,58039410000,-7795061000,675728205,23117790000,188501512000,68184437000,3064674000,85078606000,40501624000,64023391000,21055215000,-4383598000,675764637,19093184000,47706092000
"ARDYZ","TECHNOLOGY",2082058421,373210821,4059436501,900359952,1150565491,2908871010,-1604683521,167317148,158329472,786604772,1646787768,618516232,3366603404,578657581,830865903,2535737501,-518882460,1.7e+08,894867403,341262887,989046072,279286641,1808614876,415392400,514813960,1293800916,-317550503,1.7e+08,514982402,390030443,278196511,151264711,361277523,33818919,36537645,324739878,-86497231,1.7e+08,153316286,62568359
"ARENA","TECHNOLOGY",33184981340,-290802189,11242510435,10059886786,10121679539,1120830896,158957137,1e+08,197390085,31252119687,27620789166,228902979,11568325592,9893396962,10061949034,1506376558,166405988,1e+08,1049982095,26113163553,17259428754,109508802,7055432766,5891014604,6071286257,984146509,-72715713,1e+08,872038688,16286556663,6070637396,67149241,3968049283,2950329098,3153575881,814473402,-304734981,1e+08,763361274,5770742400
"ARMGD","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6263841590,465252767,5871611626,3285392123,4215179523,1656432103,-271360177,263980843,327531217,5567230934,7790529073,18937718,5451010297,3347619214,4040035543,1410974754,-488507800,263980843,234478296,7000682219,8218147677,264021830,4587840932,3123173645,3296276614,1291564318,-280940752,263980843,226844290,7093476819
