"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"ISYAT","INVESTMENT TRUSTS",2003016359,-14076446,520903835,2203584,5568057,515335778,1883277,160599284,514370668,1829951180,948133321,-97627763,538529840,6460577,8225127,530304713,4158930,160599284,530881072,702773372,569026710,-135537518,528657061,9365805,11288384,517368677,-308886,160599284,517172166,403329702,276920773,50811337,275585786,1048619,1731895,273853891,-59507,160599284,274106421,221652913
"IZENR","ELECTRICITY GAS AND WATER",7268207464,-928780083,13129756433,298235454,730439214,12399317219,-1222910728,2443750000,1986685891,6957900774,10881804533,1579036456,15215720000,228106301,845813052,14369906948,-2102529103,2443750000,2611075635,9815810557,12600832526,3761671983,7757018795,1415938909,1446884934,6310133861,-147209113,2443750000,236700937,8934896626,1368437026,-319200731,2010530659,1352547295,1606501301,404029358,-16549314,2443750000,-1003245233,1046795585
"IZFAS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",354452224,12048647,347773051,120336903,143866082,203906969,-6617967,59062500,112273448,226717042,455075359,-37809819,344477819,122177767,154194329,190283490,-29479634,59062500,100025648,342699034,303909348,-10965636,272428436,89155433,110734307,161694129,-2833378,59062500,115662258,215467857,93722375,4763460,96987276,62599637,69932126,27055150,-12854483,40276717,14236811,62319150
"IZINV","AGRICULTURE, FORESTRY AND FISHING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15936782,-4987305,295157271,8784033,125893303,169263968,-36820867,15545626,35931051,16832281,55798732,-8150667,232189197,18622394,46020861,186168336,15457741,15545626,16769480,63607071,21386684,-5204271,76139678,39485285,43417272,32722406,2227588,14794500,-16946301,21673674
"IZMDC","BASIC METAL",46544053674,-2141778111,43737778257,21275055601,23933642054,19804136203,-1463596156,1.5e+09,-6313841044,48951123739,50692145385,1578299303,48279827801,17053954015,22058698069,26221129732,-8070230070,1.5e+09,-3870393916,49162096144,47252206479,4441274059,24811001842,12025293343,15050217916,9760783926,-2705330827,1.5e+09,-1727559170,43387619204,10823179851,-766100133,7751117795,6287039528,6950649684,800468111,-283777938,1.5e+09,-1969517979,9694922205
"JANTS","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",5505175140,100607635,7189194536,1404703155,2054625778,5134568758,-318262141,7e+08,1025825489,4286822063,10888219813,716864043,7417457812,1663174824,2238390815,5179066997,-541478123,699999994,1204267239,8389438377,6493628132,592170203,5076788386,1446258954,1785921050,3290867336,-590008558,699999994,967426630,4785969225,1359033396,366627261,1564408793,481023704,578924356,985484437,-109672925,699999994,392202392,948351519
"KAPLM","PAPER AND PAPER PRODUCTS PRINTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1347163186,-61305898,1322382529,533466419,627264286,695118243,-52434096,2e+07,-5361530,1179362917,1913939124,90878047,1586005069,707221981,815552776,770452293,-92907235,2e+07,81169883,1584331370,472318577,34531791,370941370,274172606,282382591,88558779,-14030265,2e+07,15880155,376838269
"KAREL","TECHNOLOGY",13826058331,-1525917629,11506979290,8438020224,9409489783,2097489507,-977179147,805885530,-1259509677,13202096945,13655547980,339211178,11668355696,7186064411,8009203591,3659152105,-574247691,712284156,634880896,11748205399,6384327258,-191804782,8414033833,5450845739,6219533627,2194500206,-1048249639,754901636,436493130,6041065920,1636823660,66436133,1946391418,1009172416,1376592104,569799314,-151669328,754901635,547078488,1251731406
"KARSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",10867324000,55484000,15122657000,7756581000,9632384000,5490273000,-609062000,9e+08,-113496000,8686735000,10717162000,556164000,15831412000,8531336000,10600386000,5231026000,-150857000,9e+08,-567755000,8873309000,5361351000,-205760000,16148235000,8594461000,11366400000,4781835000,-285742000,9e+08,-875536000,4634091000,2100240000,98893000,3737266000,2137461000,2743373000,993893000,45394000,9e+08,-212134000,1526105000
"KARTN","PAPER AND PAPER PRODUCTS PRINTING",3870718964,-651352361,3924989204,1077296860,1148251797,2776737407,380164228,7.5e+07,452565562,4267588507,3581180417,-895649025,4353951808,764825940,910009683,3443942125,-217019497,7.5e+07,714322335,4247452441,6554995815,536924453,4090743352,556208135,787348343,3303395009,-222357100,7.5e+07,1689496752,5165683515,1588647216,379019989,1183953771,264757575,295817210,888136561,-102096160,7.5e+07,554217776,1166395954
"KATMR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",1339523074,547112042,8434121161,2206624525,2914302557,5519818604,635464101,1467501592,5023005156,768471397,2194713630,-244645052,8466201239,2048923184,3649133811,4817067428,176896849,1467501592,5087237253,1889024119,1574853034,-245038893,6097790087,1633839215,3192879913,2904910174,3872775,1052772881,3445219982,1295038694,400554104,-41694460,1767128339,528443239,1130713189,636415150,-13299540,1052772881,1043165692,182551034
"KAYSE","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KBORU","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",3954814066,648423565,5417610177,1449581874,2394747409,3022862768,-1321208609,1e+08,1255287074,3162828685,2954440858,316511312,3702976690,1129830006,1287083695,2415892995,-257058782,1e+08,1148582915,2034678065,1479305667,202002816,1098882804,453863740,519506133,579376671,-119027599,1e+08,27445670,1139816002,226417906,5756687,327668344,172489408,210430804,117237540,-42111550,1e+08,-18451540,177444045
"KCAER","BASIC METAL",19235210253,82898269,19793715979,8097356208,10298191169,9495524810,-1062493674,1.915e+09,2161387154,16179582138,22219241593,1706236127,17411963852,6192399440,7854615799,9557348053,147344707,1914999881,2703758824,17950078874,17588426966,964430062,11888679570,5745461916,6302958987,5585720583,-965437336,1914999881,768674800,14483234207,4216306544,132584430,3460850875,2116975759,2527472815,933378060,-141090676,1914999874,8468241,3364737035
"KCHOL","HOLDING AND INVESTMENT COMPANIES",2.317907e+12,1.306e+09,3.908152e+12,2.604653e+12,3.049488e+12,8.58664e+11,-1.21372e+11,2535898050,-2.65969e+11,1.990072e+12,2.316773e+12,1.08176e+11,2.858965e+12,1.865813e+12,2.184693e+12,6.74272e+11,-2.38892e+11,2535898050,-1.53435e+11,1.772974e+12,1.715942e+12,7.2662e+10,2.817316e+12,1.888144e+12,2.207383e+12,6.09933e+11,-8.5638e+10,2.536e+09,-2.53278e+11,1.310999e+12,3.46689e+11,1.5193e+10,1.020553e+12,7.09677e+11,8.99448e+11,1.21105e+11,-5.36e+10,2535898050,-1.03704e+11,2.66624e+11
"KENT","FOOD, BEVERAGE AND TOBACCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KERVN","HOLDING AND INVESTMENT COMPANIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7109,178979057,2742654712,2899264168,2999808270,-257153558,-1169840340,588505080,-2876274015,6769,73988289,-40201074,1817723112,2085379411,2189542431,-371819319,3084,588505080,-1803580916,7199983
"KERVT","FOOD, BEVERAGE AND TOBACCO",25001705086,1511223709,27800982751,11801857056,15335163601,12465819150,2129590503,6.62e+08,4545666516,19088721481,27298496089,842912833,23279359450,9970064559,12759137566,10520221884,-1107543413,6.62e+08,2792424243,21764390373,24248480443,1342233213,17397543087,8058969833,10013479665,7384063422,754578370,6.62e+08,3355885251,20432251517,4865330171,-39945063,14775476949,7690722505,9969964861,4805512088,150455781,6.62e+08,1681320560,3888437097
"KFEIN","TECHNOLOGY",1918951485,210814060,1466564255,437368562,462253740,1004310515,-51503750,19750000,479836602,1067237251,1598558978,126140247,1347872909,363334011,399501449,948371460,-76925023,19750000,527983571,893847214,759626691,-2947075,775797933,150434200,213098565,562699368,-24439123,19750000,208372658,562890585,265074491,7394680,300327454,98475080,120408137,179919317,-29669390,19750000,49568989,184672086
"KGYO","REAL ESTATE INVESTMENT TRUSTS",301727670,-68842925,6111281695,895459527,4599893852,1511387843,-1157912,999999993,476561379,257342978,310659187,927362737,5357938199,145958523,4068717827,1289220372,164321330,651185964,-80308599,255416586,247476243,-40388970,1222597738,205812753,970685904,251911834,22626458,651185964,-142070524,248913460,61043046,24101349,122991021,9478689,15226998,107764023,288936,651185964,31596916,48493300
"KIMMR","WHOLESALE AND RETAIL TRADE",9428175620,350987082,6320712567,1877370878,3453270588,2867441979,-141202118,2.4e+08,347278054,7301361055,8939914283,513793144,5418823872,1680762609,2876410620,2542413252,-273370473,2.4e+08,384398109,6777022031,4749011197,-369795087,2854322174,1039218553,1613930739,1240391435,-219478793,2.4e+08,331741515,3686207564,1298811232,20411820,925159861,364767702,489779145,435380716,-35519651,2.4e+08,267607676,951704704
"KLGYO","REAL ESTATE INVESTMENT TRUSTS",8714476000,857759000,25264549000,3965444000,6682387000,18582162000,-131955000,1.395e+09,7612091000,5038504000,338482000,2046673000,29908799000,11564509000,12183866000,17724933000,-1056289000,1.395e+09,6666429000,72239000,2289281000,3524337000,17310293000,5979187000,6452165000,10858128000,-289937000,1.395e+09,5887849000,856679000,524193000,547432000,2989448000,1217075000,1227905000,1761543000,-20026000,795773100,721190000,363237000
"KLKIM","NON-METALLIC MINERAL PRODUCTS",7492343445,929186062,6583045834,1858564454,2003952820,4579093014,-548860728,4.6e+08,2037900608,4476239251,6739714859,621387840,5571777025,1785121366,1925969386,3645807639,-471224257,4.6e+08,1509259884,4134910627,4220881641,418737851,3393031515,1002765521,1107464706,2285566809,-591082482,4.6e+08,1180079247,2907104785,809990145,213287232,984137844,316019379,339880443,644257401,-53123501,4.6e+08,437228679,502927297
"KLMSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3578519872,125132205,7710909183,4029951143,4768741197,2942167986,35423897,79200000,62328489,3084659166,2772970990,136281376,4250386853,2078242288,2633352016,1617034837,-74493215,79200000,435956859,2362395016,1735021684,21925692,3220291538,1748406261,2611604464,608687074,-143581726,79200000,533968373,1361730374
"KLNMA","BANKS",10742580000,6175535000,153594469000,NA,133589069000,20005400000,-2628780000,9426970502,NA,NA,7106300000,4042668000,135699686000,NA,124817014000,10882672000,-3900905000,9136164214,NA,NA,3243150000,1700398000,91699796000,NA,84846056000,6853740000,-5244608000,9136164214,NA,NA,1614527000,816467000,48378730000,NA,43913093000,4465637000,-1865091000,9009624543,NA,NA
"KLRHO","HOLDING AND INVESTMENT COMPANIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3097298000,4229444000,32463588000,9071322000,10676560000,21787028000,-2046243000,6.25e+08,5982923000,2426145000,4457842000,2360800000,24217932000,6546529000,7302800000,16915132000,-523440000,6.5e+08,7575193000,2499012000,993752000,1212761000,4988009000,1410481000,1486737000,3501272000,44865000,6.5e+08,1454708000,641888000
"KLSER","NON-METALLIC MINERAL PRODUCTS",9948731835,-3681350763,15475461223,6834930823,8185868365,7289592858,-1576494900,514778661,319328228,9934489446,9713708850,295264310,12500566132,3643595714,4728699823,7771866309,-986753658,514778661,3430885937,8186069929,12258407931,2177569668,10418470143,4885731479,5689783120,4728687023,-196993659,514778661,913944180,9672376181,2618760968,294679248,2707521978,1923968009,2243233106,464288872,-139510753,514778661,159513592,1832309558
"KLSYN","WOOD PRODUCTS INCLUDING FURNITURE",1691408896,440780080,3960680355,689826337,1354631886,2606048469,-385483063,431419816,87169062,769040493,1927795650,29626107,3334756782,812320981,1584229245,1750527537,373619476,431419816,40537847,683395989,980358612,-274026919,2293525274,612421244,1047684699,1245840575,1056857901,431419816,-60765311,431900163,278567717,3258986,982039066,297205135,551206234,430832832,-7435659,431419816,-136899194,154025741
"KMPUR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",13244286543,-1045485345,9706318459,7009680134,7068407465,2637910994,1875340915,486200000,780834340,11356414756,15350505099,877242525,12831927222,8227026905,8907983164,3923944058,-1860285750,486200000,2834698821,12759304893,9367138928,418803131,7722063217,4566093831,5194946599,2527116618,-1149440893,486200000,2174708603,8053805149,2172688464,316423045,2208353772,1630105417,1641701255,566652517,-11973124,4.4e+08,441147673,1793241157
"KNFRT","AGRICULTURE, FORESTRY AND FISHING",3540925945,-264545370,2650038728,914324975,1116936037,1533102691,168593183,2.64e+08,1070892260,3333243932,4956046931,224029604,3812146208,2030221808,2206794689,1605351519,-130458710,2.64e+08,847644028,3724638501,4092791887,55996714,2877188947,1657603770,1912337679,964851268,-199599909,2.64e+08,598131321,3720655444,811448972,50712077,686813199,467496025,477140083,209673116,-29993154,2.64e+08,122028061,716914417
"KOCMT","BASIC METAL",14312893533,56723915,12809987978,2989470003,3006855733,9803132245,-261298698,4.55e+08,2852595780,13831515026,15789671948,114161481,10504894749,3192512710,3224555352,7280339397,-267937325,4.55e+08,380054393,14668858468,10975545964,1775728949,7749066615,2771007354,2784860332,4964206283,-444476491,4.55e+08,312136733,10521023017,17992802760,776565199,4937331211,1728537910,1743275533,3194055678,9404165,4.55e+08,1145854722,16549121263
"KONKA","PAPER AND PAPER PRODUCTS PRINTING",2854193701,-446960858,7303002503,244249652,955218620,6347783883,-255738805,1.3e+08,1414541171,2389917187,3802427161,442309046,7408291410,314093663,576933278,6831358132,230325505,1.3e+08,1580318250,3218306633,3792694755,658678877,4816129515,209591149,765276782,4050852733,-308209200,1.3e+08,1388142458,2457593215,810671064,402983994,1487324529,163996156,292238179,1195086350,-4263412,1.3e+08,340139226,567007194
"KONTR","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",9907829244,273914218,25471047479,9852249760,19596500063,5874547416,-3577153430,6.5e+08,3255486316,8503571751,5725836069,622272749,16779938241,5921751430,11454586606,5325351635,-4932208658,6.5e+08,1781399380,5008199789,3279440049,655971510,7336763617,1900093803,5085782868,2250980749,-92305747,6.5e+08,3290609995,2501477956,611807669,130667738,940425952,579885530,654026143,286399809,-56245366,649999987,199012898,446448313
"KONYA","NON-METALLIC MINERAL PRODUCTS",5251421653,-342592070,4496122490,1130999094,1260677722,3235444768,-174472373,4873440,524420500,4734904152,6389361650,986852999,5288886791,1561772336,1686647838,3602238953,-232963310,4873440,661940547,5177713223,3530337172,27153318,3999007397,1802429130,2172645475,1826361922,-365766449,4873440,286675791,2880288394,618750153,21273378,733428053,310107972,330181128,403246925,-45497707,4873440,147334281,553125880
"KOPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",4866812838,395120956,6719573825,1791431916,2900189032,3819384793,-165228642,1296960000,1331655380,4059933121,3602526162,342100642,6297772448,2267737395,3193851717,3103920731,-144806544,1296960000,1109676059,2941939816,2907258063,445138173,3424434407,1158518104,1703822349,1720612058,-137715731,1296960000,326965569,2343408555,1330751915,149575774,1852521888,604417322,1144855199,707666689,-11846569,1296960000,63753766,1082694327
"KORDS","TEXTILE, WEARING APPAREL AND LEATHER",30432802993,-1096131983,43806771678,19305308293,26601566118,17205205560,-1245872978,194529076,-678754936,26492054540,23503080721,183323316,34976114097,11858850826,18915438856,16060675241,-1011728593,194529076,2883156637,19986599362,18439743907,1289197611,23569206080,8503618277,13542890676,10026315404,-1392671731,194529076,2641952879,15080471396,7891054563,768560878,14010589668,5513002135,7527012772,6483576896,-274305390,194529076,672427284,6159087633
"KOTON","WHOLESALE AND RETAIL TRADE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17193804801,1804574796,12287835243,6234067050,8252383502,4035451741,-497307528,829650000,1106299420,8246145978,16017173874,1747837821,12940138875,7940414706,9920149742,3019989133,-371964017,829650000,-504590706,7604560678,14383701922,807999565,12986983847,6892557404,10799966560,2187017287,-119165398,829650000,-1005091710,8153024200
"KOZAA","MINING AND QUARRYING",9237206000,-1920810000,35501086000,2175120000,3270726000,32230360000,905972000,388080000,12480976000,6324161000,8596758000,363327000,27084536000,2093578000,2760201000,24324335000,4440237000,388080000,10166700000,5265379000,11591154000,-1833447000,29777918000,1904963000,3258026000,26519892000,-17223519000,388080000,17149539000,5207349000,4149686000,1259267000,12281565000,1194037000,1618046000,10663519000,553014000,388080000,8559753000,1638724000
"KOZAL","MINING AND QUARRYING",8735920000,603990000,32411466000,1756168000,2839686000,29571780000,-2094385000,3202500000,12534490000,5749802000,11705057000,586308000,33335034000,2648704000,3564762000,29770272000,5887700000,3202500000,13876348000,6748060000,11206789000,-3304880000,26074737000,1758919000,2801370000,23273367000,-16831843000,3202500000,16396256000,4738035000,4002353000,3004002000,12103110000,1118787000,1535425000,10567685000,329546000,3202500000,8273652000,1504072000
"KRDMD","BASIC METAL",56499931166,-3031398716,81929244287,23953133418,30493517145,51435727142,-2598435988,1.14e+09,7334782534,53447043344,74529369953,2292621341,86576961876,27758038906,33382207898,53194753978,-2020253587,1.14e+09,8646397394,71368235482,54168492046,1108006893,65646099102,22198965311,29039967841,36606131261,-1186427542,1.14e+09,8493803017,49991240360,14764791145,3852707238,21814969525,9590469397,11853400855,9961568670,-155175055,1.14e+09,2747203381,9982435022
"KRGYO","REAL ESTATE INVESTMENT TRUSTS",167590025,66766441,1410159290,183920587,207176544,1202982746,-215919822,3.3e+08,436722451,50127121,126929045,195698386,1214117833,54701200,77671307,1136446526,-25264632,3.3e+08,738327970,24071107,84686332,95946750,720618637,49084045,69247884,651370753,7909530,3.3e+08,370406537,18527156,28185318,24402821,185080265,22159068,40687186,144393079,-9247533,3.3e+08,83150335,8992762
"KRONT","TECHNOLOGY",313648731,-42728466,713314910,235488119,332216111,381098799,-155712948,85611078,43212372,46470659,445249670,66948974,716981623,169375929,265539677,451441946,-93207600,85611078,217278154,56000635,284059832,-10193154,410768263,156652313,182821600,227946663,-49636216,82658971,79174824,40489384,84439676,35080099,158182624,69137751,77981207,80201417,-13921590,82658971,30594410,12834070
"KRPLS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS",1426689952,-110166974,1449275910,476844866,692079527,757196383,-43574680,174600000,299650084,924213753,1393027379,-174350885,1592157099,460682482,723399836,868757263,-16947079,174600000,384394408,998462650,1224133201,-11403291,1099385270,302799266,347316342,752068928,-8559805,174600000,407154589,964717692,407340211,6074136,405999940,169013074,247063922,158936018,-28971904,1.5e+08,135497185,256716356
"KRSTL","FOOD, BEVERAGE AND TOBACCO",2426645508,137432843,1529273080,256872823,325520149,1203752931,-112067756,1.92e+08,230708715,2128469662,2392078631,-21782518,1000621991,214221802,263046743,737575248,-6175910,1.92e+08,207356783,2215790921,1394782636,-107502787,986352292,167943577,224154634,762197658,-40046555,1.92e+08,244726525,1347419135,255942980,10581861,320085624,66980809,73225130,246860494,-74329268,1.92e+08,118178062,245879919
"KRTEK","TEXTILE, WEARING APPAREL AND LEATHER",1946100200,-361781528,2917438657,1214710581,1623955501,1293483156,-224002662,35100498,188092829,1823723092,2350071948,200946534,2765459217,799660783,1120657873,1644801344,-169807383,35100498,409610456,1919551459,2045035220,165565471,2113924207,1006962921,1116686548,997237659,-45272342,35100498,105183856,1403640745,534700032,68314521,749106711,427698265,533794617,215312094,-15646143,35100498,70224621,387303675
"KRVGD","FOOD, BEVERAGE AND TOBACCO",11361200000,-89063000,12583248000,6061465000,7109423000,5473825000,-1711803000,2.16e+09,-257485000,8039958000,11849444000,350751000,12667036000,5064043000,6555051000,6111985000,-865735000,2.16e+09,1122237000,8682028000,8668128000,34577000,8100019000,3627265000,4271723000,3828296000,-727250000,2.16e+09,617410000,6616666000,1847720988,133015276,2885069392,1465447727,1675556115,1209513277,-312338223,2.16e+09,237060827,1311066997
"KSTUR","HOTELS AND RESTAURANTS",368670176,71722318,672384717,23079198,27731811,644652906,-10248547,4244587,222939103,218255958,373887803,230703099,649594156,23367080,27083648,622510508,-20757705,4244587,192263234,185889003,189407405,58259851,416573683,42495926,83304576,333269107,-19717755,4244587,113572177,97691325,19841101,16467340,67094118,2398297,3085997,64008121,-162162,4244587,37445186,13947612
"KTLEV","FINANCING COMPANIES",5216025159,2159865716,18914951780,NA,14828567715,4086384065,-4806143159,1.8e+08,NA,NA,1627152899,750182993,3435987305,NA,2272240043,1163747262,-238851734,1.8e+08,NA,NA,456172080,115525669,1001244418,NA,720022048,281222370,-136107260,1.8e+08,NA,NA,189731970,27196453,532277077,NA,417971946,114305131,-31003530,1.8e+08,NA,NA
"KTSKR","FOOD, BEVERAGE AND TOBACCO",1942194866,381018531,6724968462,1172945500,2025154311,4699814151,-23971517,4.6e+07,1230073735,1854858809,2425362350,341675195,6035853473,975832727,1863354439,4172499034,-139927259,4.6e+07,1040845707,1998108251,1079685653,400602014,4231631718,882355763,1468945617,2762686101,-17610839,4.6e+07,624227189,708091422,265650742,101927240,943978877,171240140,305600176,638378701,2078685,4.6e+07,114585246,220602454
"KUTPO","NON-METALLIC MINERAL PRODUCTS",3293629475,232619355,4261485333,875804166,1086337757,3175147576,-407129911,39916800,791982705,1665307401,3388262258,54285243,3943073593,799635357,994746007,2948327586,-180231006,39916800,691229411,2105278783,2607629368,-19056032,3049735647,892121224,1035155645,2014580002,-139010181,39916800,490206679,1910178466,604087428,33988975,718674513,264813556,314578173,404096340,-51508771,39916800,192227497,349640152
"KUVVA","WHOLESALE AND RETAIL TRADE",193649128,22229704,2858027529,2003069133,2100106587,757920942,-2176079695,31042007,-1181078874,149687653,105857922,139791075,891749404,122304491,201192009,690557395,-175951354,31042007,-50809872,43263054,51879060,3444358,207737010,91758595,137195238,70541772,3981693,25118111,-49502094,23170017,3601834,606784,24485819,9475673,9602412,14883407,-10000,13430241,-1300282,2867547
"KUYAS","CONSTRUCTION AND PUBLIC WORKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243220003,231194386,715025002,52628760,184008929,531016073,1557624,4e+08,165804816,85990297,71874337,127295405,430848134,51031163,144909825,285938309,-2943142,4e+08,40865888,46307608
"KZBGY","REAL ESTATE INVESTMENT TRUSTS",9855458957,7273965909,22800756113,1450744615,6694583210,16106172903,-880781515,1.2e+09,2922887140,6581871836,NA,-2736028481,18323592429,655814606,7316680848,11006911581,-1210962265,1.2e+09,1488928650,NA,NA,3209564850,12228339033,160540618,2518306994,9710032039,-537110748,1.2e+09,1354408546,NA,NA,NA,2699287485,50388974,506238996,2193048489,NA,1.2e+09,412997533,NA
"KZGYO","REAL ESTATE INVESTMENT TRUSTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIDER","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",2262037738,758337102,8180684421,1019755498,2293390555,5887293866,826080120,1.65e+08,4221668613,2025911050,2560406085,877394866,7065042816,1372400008,2267651479,4797391337,416902587,1.65e+08,1651514000,1724561394,1341074132,817636223,4183426128,924004690,1545022324,2638403804,-399874563,1.65e+08,215365117,726351899,476301309,140285954,994122960,362226049,705252149,288870811,-209073633,1.65e+08,-99450258,204410346
"LIDFA","FINANCIAL LEASING AND FACTORING COMPANIES",1481194000,656673000,7674291000,NA,5765457000,1908834000,-239305000,558360000,NA,NA,1112815000,566362000,4340164000,NA,3230416000,1109748000,-96132000,558360000,NA,NA,400282000,206876000,2283442000,NA,1776958000,506484000,-108792000,558360000,NA,NA,119588000,38162000,1230575000,NA,1014127000,216448000,-8315000,558360000,NA,NA
"LILAK","PAPER AND PAPER PRODUCTS PRINTING",12518157000,1175380000,15622241000,2790603000,3731941000,11890300000,-743738000,5.9e+08,7091874000,8999823000,13507106000,324079000,12323090000,4037161000,4977819000,7345271000,-600928000,5.9e+08,2615368000,9436662000,12605316775,2053246790,9933970506,3981336085,4915546539,5018423967,-275416430,5.9e+08,2014605197,8209907804,6517012161,745613164,7880627367,2971905247,4773725549,3106901818,-1149342555,5.9e+08,890267148,4229590941
"LINK","TECHNOLOGY",590766972,254644484,1422790521,408110953,428602075,994188446,-14042366,21750121,471233736,319648305,105101369,4031035,248157656,24709286,39701702,208455954,-14596496,1.1e+07,162099721,10534135,67279635,6372978,195882990,15551967,25918459,169964531,-469121,1.1e+07,142475783,7117493,22281957,26393268,81117091,8677738,12610763,68506328,-4840843,1.1e+07,57634204,3293754
"LKMNH","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES",2941518786,239780539,3816686919,1296840249,1741027074,2075659845,-284291403,2.16e+08,-2825170,2432433717,2736765481,465147842,2286858592,648062485,959224222,1327634370,-381926668,2.16e+08,-55210301,2353863624,1658705387,316940389,2144171388,662018679,1058504977,1085666411,-276085098,2.16e+08,-126518616,1453973002,453454826,70219538,476948199,163051187,255753543,221194656,-41309200,2.16e+08,-40302136,339129424
"LMKDC","NON-METALLIC MINERAL PRODUCTS",6212603175,2160935342,5568022817,755540700,890265264,4677757553,-338802242,516179700,2047658523,3513868956,5739148860,2177643778,4438106916,882713407,1160620467,3277486449,-118773680,516179700,1354465891,3434141212,1171096300,394972189,1082296933,447445100,508191988,574104945,-15320282,516179700,336536420,773578957,535718488,53730412,623283762,459810795,487228322,136055440,-3539507,516179700,-1018978,494343304
"LOGO","TECHNOLOGY",4084053000,351863000,7266525000,3736122000,4363440000,2903085000,-337919000,9.5e+07,509429000,145458000,3135800000,202353000,7714188000,3731937000,4389514000,3324674000,-948234000,1e+08,-1255777000,122458000,2887365000,318613000,4900858000,1989466000,2454993000,2445865000,-573729000,1e+08,-200087000,605437000,766766000,264650000,1807471000,742156000,973965000,833506000,-395939000,1e+08,54118000,142733000
"LRSHO","HOLDING AND INVESTMENT COMPANIES",4651512000,617812000,23917101000,2513379000,5460045000,18457056000,-886875000,7.68e+08,3868797000,3475620000,4668142000,628177000,23116383000,2693004000,5463595000,17652788000,63774000,603897435,4262823000,3865440000,2667544000,-2300783000,12999198000,1393380000,3292160000,9707038000,164520000,603897435,3522659000,3136944000,696456000,59054000,4005790000,718557000,1324718000,2681072000,-7493000,603897435,865399000,512579000
"LUKSK","TEXTILE, WEARING APPAREL AND LEATHER",453138865,-67714297,1588688320,214416825,466863884,1121824436,-1390617,2.8e+07,80291315,344157076,548190586,193936626,1627800142,261274651,466187325,1161612817,-43503020,2.8e+07,89356220,346478706,455654260,46818759,1199473729,229576544,522020779,677452950,-50704050,2.8e+07,124172224,282163781,130102733,35373301,377884753,85732923,205570347,172314406,-22439557,2.8e+07,80589313,73596455
