"stock","mainsector"
"ATSYH","FINANCIAL INSTITUTIONS"
"ATLAS","FINANCIAL INSTITUTIONS"
"AVGYO","FINANCIAL INSTITUTIONS"
"AVPGY","FINANCIAL INSTITUTIONS"
"AVHOL","FINANCIAL INSTITUTIONS"
"BASGZ","FINANCIAL INSTITUTIONS"
"BEGYO","FINANCIAL INSTITUTIONS"
"BERA","FINANCIAL INSTITUTIONS"
"BRKVY","FINANCIAL INSTITUTIONS"
"BRYAT","FINANCIAL INSTITUTIONS"
"COSMO","FINANCIAL INSTITUTIONS"
"CRDFA","FINANCIAL INSTITUTIONS"
"DAGHL","FINANCIAL INSTITUTIONS"
"DENGE","FINANCIAL INSTITUTIONS"
"DZGYO","FINANCIAL INSTITUTIONS"
"DERHL","FINANCIAL INSTITUTIONS"
"DOHOL","FINANCIAL INSTITUTIONS"
"DGGYO","FINANCIAL INSTITUTIONS"
"ECZYT","FINANCIAL INSTITUTIONS"
"EGEGY","FINANCIAL INSTITUTIONS"
"ECILC","FINANCIAL INSTITUTIONS"
"EKGYO","FINANCIAL INSTITUTIONS"
"EUKYO","FINANCIAL INSTITUTIONS"
"EUYO","FINANCIAL INSTITUTIONS"
"ETYAT","FINANCIAL INSTITUTIONS"
"EUHOL","FINANCIAL INSTITUTIONS"
"EYGYO","FINANCIAL INSTITUTIONS"
"FZLGY","FINANCIAL INSTITUTIONS"
"GARFA","FINANCIAL INSTITUTIONS"
"GRNYO","FINANCIAL INSTITUTIONS"
"GEDIK","FINANCIAL INSTITUTIONS"
"GLCVY","FINANCIAL INSTITUTIONS"
"GLBMD","FINANCIAL INSTITUTIONS"
"GLYHO","FINANCIAL INSTITUTIONS"
"GOZDE","FINANCIAL INSTITUTIONS"
"GRTHO","FINANCIAL INSTITUTIONS"
"GSDHO","FINANCIAL INSTITUTIONS"
"GLRYH","FINANCIAL INSTITUTIONS"
"SAHOL","FINANCIAL INSTITUTIONS"
"HLGYO","FINANCIAL INSTITUTIONS"
