"stock","subsector"
"CONSE","ELECTRICITY GAS AND STEAM"
"CWENE","ELECTRICITY GAS AND STEAM"
"ARASE","ELECTRICITY GAS AND STEAM"
"ENJSA","ELECTRICITY GAS AND STEAM"
"ENERY","ELECTRICITY GAS AND STEAM"
"ESEN","ELECTRICITY GAS AND STEAM"
"GWIND","ELECTRICITY GAS AND STEAM"
"HUNER","ELECTRICITY GAS AND STEAM"
"ENTRA","ELECTRICITY GAS AND STEAM"
"IZENR","ELECTRICITY GAS AND STEAM"
"LYDYE","ELECTRICITY GAS AND STEAM"
"MAGEN","ELECTRICITY GAS AND STEAM"
"MOGAN","ELECTRICITY GAS AND STEAM"
"NTGAZ","ELECTRICITY GAS AND STEAM"
"NATEN","ELECTRICITY GAS AND STEAM"
"ODAS","ELECTRICITY GAS AND STEAM"
"PAMEL","ELECTRICITY GAS AND STEAM"
"SMRTG","ELECTRICITY GAS AND STEAM"
"TATEN","ELECTRICITY GAS AND STEAM"
"ZEDUR","ELECTRICITY GAS AND STEAM"
"ZOREN","ELECTRICITY GAS AND STEAM"
"AKFIS","CONSTRUCTION AND PUBLIC WORKS"
"ANELE","CONSTRUCTION AND PUBLIC WORKS"
"BRLSM","CONSTRUCTION AND PUBLIC WORKS"
"DAPGM","CONSTRUCTION AND PUBLIC WORKS"
"EDIP","CONSTRUCTION AND PUBLIC WORKS"
"ENKAI","CONSTRUCTION AND PUBLIC WORKS"
"GESAN","CONSTRUCTION AND PUBLIC WORKS"
"GLRMK","CONSTRUCTION AND PUBLIC WORKS"
"KUYAS","CONSTRUCTION AND PUBLIC WORKS"
"ORGE","CONSTRUCTION AND PUBLIC WORKS"
"SANEL","CONSTRUCTION AND PUBLIC WORKS"
"TURGG","CONSTRUCTION AND PUBLIC WORKS"
"YAYLA","CONSTRUCTION AND PUBLIC WORKS"
"YYAPI","CONSTRUCTION AND PUBLIC WORKS"
"ARZUM","WHOLESALE TRADE"
"DCTTR","WHOLESALE TRADE"
"DOAS","WHOLESALE TRADE"
"GENIL","WHOLESALE TRADE"
"INTEM","WHOLESALE TRADE"
"KUVVA","WHOLESALE TRADE"
"PSDTC","WHOLESALE TRADE"
"SANKO","WHOLESALE TRADE"
"SELEC","WHOLESALE TRADE"
"TGSAS","WHOLESALE TRADE"
"BIMAS","CONSUMER TRADE"
"BIZIM","CONSUMER TRADE"
"CRFSA","CONSUMER TRADE"
"CASA","CONSUMER TRADE"
"EBEBK","CONSUMER TRADE"
"KIMMR","CONSUMER TRADE"
"GMTAS","CONSUMER TRADE"
"KOTON","CONSUMER TRADE"
"MAVI","CONSUMER TRADE"
"MEPET","CONSUMER TRADE"
"MGROS","CONSUMER TRADE"
"SOKM","CONSUMER TRADE"
"SUWEN","CONSUMER TRADE"
"TKNSA","CONSUMER TRADE"
"VAKKO","CONSUMER TRADE"
"BEYAZ","TRANSPORTATION AND STORAGE"
"CLEBI","TRANSPORTATION AND STORAGE"
"GSDDE","TRANSPORTATION AND STORAGE"
"GRSEL","TRANSPORTATION AND STORAGE"
"HRKET","TRANSPORTATION AND STORAGE"
"HOROZ","TRANSPORTATION AND STORAGE"
"PASEU","TRANSPORTATION AND STORAGE"
"PGSUS","TRANSPORTATION AND STORAGE"
"RYSAS","TRANSPORTATION AND STORAGE"
"TLMAN","TRANSPORTATION AND STORAGE"
"TUREX","TRANSPORTATION AND STORAGE"
"THYAO","TRANSPORTATION AND STORAGE"
"KTLEV","FINANCING COMPANIES"
"BRKVY","ASSET MANAGEMENT COMPANIES"
"GLCVY","ASSET MANAGEMENT COMPANIES"
"SMRVA","ASSET MANAGEMENT COMPANIES"
"AKBNK","BANKS"
"ALBRK","BANKS"
"ICBCT","BANKS"
"QNBTR","BANKS"
"SKBNK","BANKS"
"GARAN","BANKS"
"HALKB","BANKS"
"ISCTR","BANKS"
"KLNMA","BANKS"
"TSKB","BANKS"
"VAKBN","BANKS"
"YKBNK","BANKS"
"AGESA","INSURANCE COMPANIES"
"AKGRT","INSURANCE COMPANIES"
"ANSGR","INSURANCE COMPANIES"
"ANHYT","INSURANCE COMPANIES"
"RAYSG","INSURANCE COMPANIES"
"TURSG","INSURANCE COMPANIES"
"CRDFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"GARFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"ISFIN","FINANCIAL LEASING AND FACTORING COMPANIES"
"LIDFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"QNBFK","FINANCIAL LEASING AND FACTORING COMPANIES"
"SEKFK","FINANCIAL LEASING AND FACTORING COMPANIES"
"ULUFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"VAKFN","FINANCIAL LEASING AND FACTORING COMPANIES"
"BINHO","HOLDING AND INVESTMENT COMPANIES"
"AGHOL","HOLDING AND INVESTMENT COMPANIES"
"AKYHO","HOLDING AND INVESTMENT COMPANIES"
"ALARK","HOLDING AND INVESTMENT COMPANIES"
"ATSYH","HOLDING AND INVESTMENT COMPANIES"
"AVHOL","HOLDING AND INVESTMENT COMPANIES"
"BERA","HOLDING AND INVESTMENT COMPANIES"
"BRYAT","HOLDING AND INVESTMENT COMPANIES"
"COSMO","HOLDING AND INVESTMENT COMPANIES"
"DAGHL","HOLDING AND INVESTMENT COMPANIES"
"DENGE","HOLDING AND INVESTMENT COMPANIES"
"DERHL","HOLDING AND INVESTMENT COMPANIES"
"DOHOL","HOLDING AND INVESTMENT COMPANIES"
"ECZYT","HOLDING AND INVESTMENT COMPANIES"
"ECILC","HOLDING AND INVESTMENT COMPANIES"
"EUHOL","HOLDING AND INVESTMENT COMPANIES"
"GLYHO","HOLDING AND INVESTMENT COMPANIES"
"GRTHO","HOLDING AND INVESTMENT COMPANIES"
"GSDHO","HOLDING AND INVESTMENT COMPANIES"
"GLRYH","HOLDING AND INVESTMENT COMPANIES"
"SAHOL","HOLDING AND INVESTMENT COMPANIES"
"HEDEF","HOLDING AND INVESTMENT COMPANIES"
"IHLAS","HOLDING AND INVESTMENT COMPANIES"
"IHYAY","HOLDING AND INVESTMENT COMPANIES"
"INVEO","HOLDING AND INVESTMENT COMPANIES"
"INVES","HOLDING AND INVESTMENT COMPANIES"
"ISBIR","HOLDING AND INVESTMENT COMPANIES"
"IEYHO","HOLDING AND INVESTMENT COMPANIES"
"KERVN","HOLDING AND INVESTMENT COMPANIES"
"KLRHO","HOLDING AND INVESTMENT COMPANIES"
"KCHOL","HOLDING AND INVESTMENT COMPANIES"
"LRSHO","HOLDING AND INVESTMENT COMPANIES"
"LYDHO","HOLDING AND INVESTMENT COMPANIES"
"MARKA","HOLDING AND INVESTMENT COMPANIES"
"MZHLD","HOLDING AND INVESTMENT COMPANIES"
"METUR","HOLDING AND INVESTMENT COMPANIES"
"METRO","HOLDING AND INVESTMENT COMPANIES"
"MMCAS","HOLDING AND INVESTMENT COMPANIES"
"NTHOL","HOLDING AND INVESTMENT COMPANIES"
"OSTIM","HOLDING AND INVESTMENT COMPANIES"
"OTTO","HOLDING AND INVESTMENT COMPANIES"
"PEHOL","HOLDING AND INVESTMENT COMPANIES"
"POLHO","HOLDING AND INVESTMENT COMPANIES"
"RALYH","HOLDING AND INVESTMENT COMPANIES"
"TAVHL","HOLDING AND INVESTMENT COMPANIES"
"TKFEN","HOLDING AND INVESTMENT COMPANIES"
"TRCAS","HOLDING AND INVESTMENT COMPANIES"
"SISE","HOLDING AND INVESTMENT COMPANIES"
"UFUK","HOLDING AND INVESTMENT COMPANIES"
"UMPAS","HOLDING AND INVESTMENT COMPANIES"
"UNLU","HOLDING AND INVESTMENT COMPANIES"
"VERUS","HOLDING AND INVESTMENT COMPANIES"
"YESIL","HOLDING AND INVESTMENT COMPANIES"
"A1CAP","BROKERAGE HOUSES"
"GEDIK","BROKERAGE HOUSES"
